Support_Year;Cluster;Timestep;HP;EB
0;1;117;0.0;0.0
0;1;118;0.0;0.0
0;1;119;0.0;0.0
0;1;120;0.0;0.0
0;1;121;0.0;0.0
0;1;122;0.0;0.0
0;1;123;0.0;0.0
0;1;124;0.0;0.0
0;1;125;0.0;0.0
0;1;126;0.0;0.0
0;1;127;0.0;0.0
0;1;128;0.0;0.0
0;1;129;67.702;0.0
0;1;130;72.812;0.0
0;1;131;63.014;0.0
0;1;132;71.362;0.0
0;1;133;61.733;0.0
0;1;134;61.68;0.0
0;1;135;65.269;0.0
0;1;136;57.189;0.0
0;1;137;752.953;0.0
0;1;138;0.0;0.0
0;1;139;0.0;0.0
0;1;140;0.0;0.0
0;1;141;0.0;0.0
0;1;142;0.0;0.0
0;1;143;0.0;0.0
0;1;144;0.0;0.0
0;1;145;0.0;0.0
0;1;146;0.0;0.0
0;1;147;0.0;0.0
0;1;148;0.0;0.0
0;1;149;0.0;0.0
0;1;150;0.0;0.0
0;1;151;0.0;0.0
0;1;152;0.0;0.0
0;1;153;69.185;0.0
0;1;154;73.898;0.0
0;1;155;68.787;0.0
0;1;156;77.932;0.0
0;1;157;62.591;0.0
0;1;158;65.828;0.0
0;1;159;1118.152;0.0
0;1;160;0.0;0.0
0;1;161;483.138;0.0
0;1;162;0.0;0.0
0;1;163;0.0;0.0
0;1;164;0.0;0.0
0;1;165;0.0;0.0
0;1;166;0.0;0.0
0;1;167;0.0;0.0
0;2;0;1118.152;0.0
0;2;1;1118.152;0.0
0;2;2;1118.152;0.0
0;2;3;0.0;0.0
0;2;4;0.0;0.0
0;2;5;272.757;0.0
0;2;6;0.0;0.0
0;2;7;656.778;0.0
0;2;8;566.244;0.0
0;2;9;595.795;0.0
0;2;10;1118.152;0.0
0;2;11;1118.152;0.0
0;2;12;1118.152;0.0
0;2;13;1118.152;0.0
0;2;14;1118.152;0.0
0;2;15;1118.152;0.0
0;2;16;1118.152;0.0
0;2;17;1118.152;0.0
0;2;18;0.0;0.0
0;2;19;0.0;0.0
0;2;20;0.0;0.0
0;2;21;0.0;0.0
0;2;22;0.0;0.0
0;2;23;0.0;0.0
0;2;24;0.0;0.0
0;2;25;0.0;0.0
0;2;26;0.0;0.0
0;2;27;0.0;0.0
0;2;28;0.0;0.0
0;2;29;0.0;0.0
0;2;30;0.0;0.0
0;2;31;0.0;0.0
0;2;32;501.021;0.0
0;2;33;417.12;0.0
0;2;34;300.844;0.0
0;2;35;220.977;0.0
0;2;36;175.238;0.0
0;2;37;133.75;0.0
0;2;38;1118.152;0.0
0;2;39;603.08;0.0
0;2;40;1118.152;0.0
0;2;41;0.0;0.0
0;2;42;0.0;0.0
0;2;43;0.0;0.0
0;2;44;0.0;0.0
0;2;45;0.0;0.0
0;2;46;0.0;0.0
0;2;47;0.0;0.0
0;2;48;0.0;0.0
0;2;49;0.0;0.0
0;2;50;0.0;0.0
0;2;51;0.0;0.0
0;2;52;0.0;0.0
0;2;53;0.0;0.0
0;2;54;0.0;0.0
0;2;55;0.0;0.0
0;2;56;0.0;0.0
0;2;57;123.311;0.0
0;2;58;0.0;0.0
0;2;59;182.43;0.0
0;2;60;0.0;0.0
0;2;61;76.635;0.0
0;2;62;844.179;0.0
0;2;63;1118.152;0.0
0;2;64;98.527;0.0
0;2;65;0.0;0.0
0;2;66;0.0;0.0
0;2;67;0.0;0.0
0;2;68;0.0;0.0
0;2;69;0.0;0.0
0;2;70;0.0;0.0
0;2;71;0.0;0.0
0;2;72;0.0;0.0
0;2;73;0.0;0.0
0;2;74;0.0;0.0
0;2;75;0.0;0.0
0;2;76;0.0;0.0
0;2;77;0.0;0.0
0;2;78;0.0;0.0
0;2;79;0.0;0.0
0;2;80;1118.152;0.0
0;2;81;574.852;0.0
0;2;82;1118.152;0.0
0;2;83;1118.152;0.0
0;2;84;1118.152;0.0
0;2;85;1118.152;0.0
0;2;86;1118.152;0.0
0;2;87;1118.152;0.0
0;2;88;1118.152;0.0
0;2;89;1118.152;0.0
0;2;90;0.0;0.0
0;2;91;0.0;0.0
0;2;92;69.499;0.0
0;2;93;0.0;0.0
0;2;94;1118.152;0.0
0;2;95;276.68;0.0
0;2;96;0.0;0.0
0;2;97;0.0;0.0
0;2;98;0.0;0.0
0;2;99;0.0;0.0
0;2;100;0.0;0.0
0;2;101;0.0;0.0
0;2;102;0.0;0.0
0;2;103;148.884;0.0
0;2;104;1118.152;0.0
0;2;105;1118.152;0.0
0;2;106;1118.152;0.0
0;2;107;1118.152;0.0
0;2;108;1118.152;0.0
0;2;109;1118.152;0.0
0;2;110;1118.152;0.0
0;2;111;1118.152;0.0
0;2;112;609.083;0.0
0;2;113;253.942;0.0
0;2;114;0.0;0.0
0;2;115;0.0;0.0
0;2;116;0.0;0.0
